place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Puthia Temple Complex,Religious & Historical,Rajshahi,Low,Ancient Hindu temple complex with terracotta palaces and sculptures,Nov-Feb,Cool and dry,150-400,https://www.google.com/maps/search/Puthia+Temple+Complex+Rajshahi,Bus from Rajshahi city (30-45 min),Generally safe temple complex with visitors.,Puthia local restaurants, Temple area food
Varendra Research Museum,Museum,Rajshahi,Low,Oldest museum in Bangladesh showcasing archaeological artifacts and sculptures,Year-round,Indoor comfortable,100-250,https://www.google.com/maps/search/Varendra+Research+Museum+Rajshahi,Rickshaw or bus from city center,Very safe indoor museum.,Rajshahi city restaurants, Handi
Bagha Shahi Mosque,Religious,Rajshahi,Low,16th-century mosque famous for terracotta decorations,Year-round,Pleasant mornings,Free-150,https://www.google.com/maps/search/Bagha+Shahi+Mosque+Rajshahi,Bus to Bagha (1 hr),Very safe historic mosque.,Bagha local eateries
Padma River Garden,Natural Park,Rajshahi,Low,Scenic garden along Padma River with walking paths and views,Nov-Feb,Cool riverside breeze,100-300,https://www.google.com/maps/search/Padma+Garden+Rajshahi,Bus or CNG from city (15-20 min),Generally safe riverside garden.,Padma riverside restaurants
Shaheed A.H.M. Kamaruzzaman Central Park & Zoo,Amusement & Wildlife,Rajshahi,Low,Family park with zoo and recreational areas,Year-round,Any,150-400,https://www.google.com/maps/search/Central+Park+and+Zoo+Rajshahi,Local bus from city center,Generally safe family park and zoo.,Park zoo area eateries
Somapura Mahavihara,Historical & UNESCO,Rajshahi,Medium,Ancient Buddhist monastery ruins and UNESCO site,Nov-Feb,Clear and dry,300-700,https://www.google.com/maps/search/Somapura+Mahavihara+Paharpur,Bus from Rajshahi (2-3 hr),Generally safe UNESCO site; daytime visits preferred.,Paharpur local restaurants
Shrine of Hazrat Shah Mokhdum,Religious,Rajshahi,Low,Peaceful Sufi shrine with sacred pond,Year-round,Any,Free-100,https://www.google.com/maps/search/Shrine+of+Hazrat+Shah+Mokhdum+Rajshahi,Local transport from city,Very safe peaceful shrine.,Shrine area local food
Chhoto Sona Mosque,Religious,Rajshahi,Low,Historic small golden mosque with intricate designs,Year-round,Any,Free-100,https://www.google.com/maps/search/Chhoto+Sona+Mosque+Rajshahi,Bus from city,Very safe historic mosque.,Local mosque eateries
Mahasthangarh,Historical,Rajshahi,Low,One of Bangladesh's oldest archaeological sites with ruins,Nov-Feb,Dry,200-500,https://www.google.com/maps/search/Mahasthangarh+near+Rajshahi,Long bus (3+ hr),Generally safe major archaeological site.,Mahasthangarh local restaurants
Lalon Shah Mukto Moncho,Cultural,Rajshahi,Low,Memorial stage dedicated to Baul saint Lalon Shah,Year-round,Any,Free-150,https://www.google.com/maps/search/Lalon+Shah+Mukto+Moncho+Rajshahi,Local transport,Generally safe cultural memorial.,Lalon area eateries
I-Badh / T-Badh,River Viewpoint,Rajshahi,Low,Popular Padma River embankment for sunset and views,Nov-Feb,Cool evenings,Free-200,https://www.google.com/maps/search/I+Badh+Padma+Rajshahi,Bus or walk from city,Generally safe popular riverside spot; evenings busy.,Padma riverside restaurants
Shaheb Bazar,Market,Rajshahi,Low,Bustling local market with shopping and street food,Year-round,Any,100-300,https://www.google.com/maps/search/Shaheb+Bazar+Rajshahi,Walk or rickshaw in city center,Busy market—watch for pickpocketing.,Shaheb Bazar street food, Local restaurants
Rajshahi University Campus,Campus & Nature,Rajshahi,Low,Sprawling green hilly campus with scenic beauty,Year-round,Any,Free-150,https://www.google.com/maps/search/Rajshahi+University+Campus,Bus from city,Generally safe large campus during day.,University canteens
Kusumba Mosque,Religious,Rajshahi,Low,Ancient mosque with beautiful stone carvings,Year-round,Any,Free-150,https://www.google.com/maps/search/Kusumba+Mosque+Naogaon,Bus from Rajshahi,Very safe historic mosque.,Naogaon local food
Uttara Gonobhaban,Historical,Rajshahi,Low,Historic government residence with gardens,Year-round,Any,Free-150,https://www.google.com/maps/search/Uttara+Gonobhaban+Natore,Bus to Natore,Generally safe historical site.,Natore local restaurants
Behular Bashor Ghar,Historical & Cultural,Rajshahi,Low,Site linked to famous Bengali folk legend,Nov-Feb,Pleasant,100-300,https://www.google.com/maps/search/Behular+Bashor+Ghar+Rajshahi,Local bus,Generally safe cultural site.,Local area eateries
