place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Shalban Bihar,Historical & Archaeological,Cumilla,Low,Ancient Buddhist monastery ruins at Mainamati,Year-round,Any,150-400,https://www.google.com/maps/search/Shalban+Bihar+Mainamati+Cumilla,Bus from Cumilla (20-30 min),Generally safe archaeological site with visitors.,Mainamati local restaurants, Nearby Cumilla eateries
Mainamati War Cemetery,Historical,Cumilla,Low,Well-maintained WWII cemetery with memorials,Year-round,Cool mornings,Free-100,https://www.google.com/maps/search/Mainamati+War+Cemetery+Cumilla,Local transport,Very safe and serene.,Local cafes near Mainamati
Dharmasagar Pond,Natural Lake,Cumilla,Low,Large historic pond ideal for boating and views,Year-round,Any,100-300,https://www.google.com/maps/search/Dharmasagar+Cumilla,City,Generally safe urban pond area.,Cumilla city restaurants, Pond side stalls
Jagannath Temple,Religious,Cumilla,Low,Historic Hindu temple,Year-round,Any,Free-150,https://www.google.com/maps/search/Jagannath+Temple+Cumilla,Local,Very safe religious site.,Temple area local food, Cumilla mezban
Rupban Mura,Archaeological,Cumilla,Low,Ancient archaeological mound and ruins,Year-round,Any,100-300,https://www.google.com/maps/search/Rupban+Mura+Cumilla,Bus,Generally safe archaeological site.,Nearby Mainamati eateries
Itakhola Mura,Archaeological,Cumilla,Low,Another important Mainamati mound site,Year-round,Any,100-300,https://www.google.com/maps/search/Itakhola+Mura+Cumilla,Local,Generally safe mound site.,Local Cumilla restaurants
Bangladesh Academy for Rural Development (BARD),Campus & Landmark,Cumilla,Low,Iconic institution with beautiful campus,Year-round,Any,Free-150,https://www.google.com/maps/search/BARD+Cumilla,Bus,Generally safe institutional campus.,BARD canteen, Nearby Cumilla spots
Magic Paradise,Amusement Park,Cumilla,Medium,Popular family amusement park with rides,Year-round,Any,300-600,https://www.google.com/maps/search/Magic+Paradise+Cumilla,Local,Generally safe family amusement park.,Park restaurants, Family eateries
Mainamati Museum,Museum,Cumilla,Low,Museum displaying artifacts from Buddhist sites,Year-round,Indoor,100-250,https://www.google.com/maps/search/Mainamati+Museum+Cumilla,Bus to Mainamati,Very safe indoor museum.,Mainamati local restaurants
Chondi Mura Temple,Religious,Cumilla,Low,Temple on hillock with stairs,Year-round,Any,Free-150,https://www.google.com/maps/search/Chondi+Mura+Temple+Cumilla,Local,Generally safe temple site.,Temple area food stalls
Kotbari Temple Complex,Religious,Cumilla,Low,Group of temples in Kotbari area,Year-round,Any,Free-200,https://www.google.com/maps/search/Kotbari+Temple+Cumilla,Bus,Generally safe temple complex.,Kotbari local eateries
Comilla Victoria College,Landmark,Cumilla,Low,Historic educational institution,Year-round,Any,Free,https://www.google.com/maps/search/Comilla+Victoria+College,In city,Generally safe campus area.,College canteens, Nearby restaurants
Lalmai Hills,Natural & Hill,Cumilla,Low,Low hills with archaeological significance,Year-round,Any,Free-200,https://www.google.com/maps/search/Lalmai+Hills+Cumilla,Local,Generally safe low hills with daytime visits.,Local hill area eateries
Comilla Cantonment Area,Landmark,Cumilla,Low,Area with historical context,Year-round,Any,Free,https://www.google.com/maps/search/Comilla+Cantonment,Local,Generally safe near cantonment (accessible parts).,Cantonment area restaurants
Pashchimgaon Nawab Bari,Historical,Cumilla,Low,Historic nawab residence (Kurshed Munzil),Year-round,Any,100-300,https://www.google.com/maps/search/Pashchimgaon+Nawab+Bari+Cumilla,Local,Generally safe historical site.,Nearby Cumilla eateries
Rani Kuthir,Historical,Cumilla,Low,Historic queen's residence site,Year-round,Any,100-250,https://www.google.com/maps/search/Rani+Kuthir+Cumilla,Local,Generally safe historical site.,Local restaurants
