place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
The Sundarbans,National Park & Wildlife,Khulna,Medium,World's largest mangrove forest and Royal Bengal Tiger habitat,Nov-Feb,Dry and pleasant,600-1500,https://www.google.com/maps/search/The+Sundarbans+Khulna,Boat from Khulna or Mongla,Moderate to high caution due to wildlife (tigers, crocodiles) and remote mangrove environment; only visit with licensed organized tours and guides; follow all safety rules.,Mongla or Khulna tour operator restaurants, Hotel eateries in Mongla
Shait Gumbad Mosque (Sixty Dome),Religious & Historical,Khulna,Low,UNESCO-listed 15th-century mosque with unique domes,Year-round,Any,Free-200,https://www.google.com/maps/search/Shait+Gumbad+Mosque+Bagerhat,Bus from Khulna (1-1.5 hr),Very safe UNESCO heritage site with visitors.,Bagerhat local restaurants, Mosque area eateries
Khan Jahan Ali Tomb,Religious,Khulna,Low,Shrine of the saint who developed the region,Year-round,Any,Free-150,https://www.google.com/maps/search/Khan+Jahan+Ali+Tomb+Bagerhat,Bus,Very safe religious shrine.,Bagerhat shrine area food
Khulna Divisional Museum,Museum,Khulna,Low,Exhibits on regional history and archaeology,Year-round,Indoor,100-250,https://www.google.com/maps/search/Khulna+Divisional+Museum,In city center,Very safe indoor museum.,Khulna city restaurants, Handi Karai
Karamjal Wildlife Center,Wildlife,Khulna,Low,Sundarbans entry point with deer, monkeys and crocodiles,Nov-Feb,Pleasant,300-700,https://www.google.com/maps/search/Karamjal+Khulna,Boat from Mongla,Moderate caution due to wildlife; organized entry point with guides.,Mongla local restaurants
Rupsha Bridge,Landmark,Khulna,Low,Iconic bridge with river views,Year-round,Any,Free,https://www.google.com/maps/search/Rupsha+Bridge+Khulna,Local transport,Generally safe landmark for views.,Bridge side local eateries
Hiron Point,Sundarbans Viewpoint,Khulna,Medium,Scenic watchtower for wildlife in Sundarbans,Nov-Feb,Dry,500-1200,https://www.google.com/maps/search/Hiron+Point+Sundarbans,Organized boat tour,Moderate to high caution; remote Sundarbans area—only with organized tours.,Tour boat food or Mongla hotels
Kotka Beach,Sundarbans Beach,Khulna,Medium,Remote beach inside mangrove forest,Nov-Feb,Pleasant,700-1500,https://www.google.com/maps/search/Kotka+Beach+Sundarbans,Boat tour,High caution; remote mangrove beach—organized tours only and wildlife awareness needed.,Organized tour meals
Jamtola Beach,Sundarbans Beach,Khulna,Medium,Scenic mangrove beach area,Nov-Feb,Dry,600-1300,https://www.google.com/maps/search/Jamtola+Beach+Sundarbans,Boat,High caution; remote—organized tours essential.,Tour provided food
Shilaidaha Kuthibari,Historical,Khulna,Low,Rabindranath Tagore's historic residence,Year-round,Any,200-500,https://www.google.com/maps/search/Shilaidaha+Kuthibari+Kushtia,Bus,Generally safe historical site.,Kushtia local restaurants
