place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Kuakata Sea Beach,Beach,Barisal,Medium,Unique beach where both sunrise and sunset can be seen,Nov-Feb,Pleasant sunny,500-1200,https://www.google.com/maps/search/Kuakata+Sea+Beach+Patuakhali,Bus from Barisal (4-5 hr),Generally safe popular beach with local police presence; avoid swimming alone due to currents and limited lifeguards.,Ruposi Bangla Restaurant, Kuakata Food Court, Sea View Restaurant, Parjatan Motel, Bashpata Restora
Guthia Mosque (Baitul Aman),Religious,Barisal,Low,Beautiful terracotta mosque complex with gardens,Year-round,Any,Free-200,https://www.google.com/maps/search/Guthia+Mosque+Barisal,Bus (30-45 min),Very safe religious site with visitors.,Local Guthia eateries, Barisal mezban restaurants
Durga Sagar,Natural Lake,Barisal,Low,Largest man-made pond with lotus flowers and boating,Nov-Feb,Cool and calm,200-500,https://www.google.com/maps/search/Durga+Sagar+Barisal,Local bus (20-30 min),Generally safe daytime picnic spot; basic security.,Barisal local restaurants, Picnic area stalls
Floating Guava Market,Market & Cultural,Barisal,Low,Unique boat-based guava trading market,Post-monsoon,Refreshing,150-400,https://www.google.com/maps/search/Floating+Guava+Market+Bhimruli,Boat from local ghat,Generally safe cultural experience; watch for boat safety and crowds.,Bhimruli boat-side eateries, Local seasonal stalls
Barisal Divisional Museum,Museum,Barisal,Low,Regional history and artifacts museum,Year-round,Indoor,100-250,https://www.google.com/maps/search/Barisal+Divisional+Museum,In city,Very safe indoor museum.,Zafran Restaurant, Handi Karai, Tawa Restaurant
30 Godown,Riverside Park,Barisal,Low,Historic riverside spot with scenic views,Year-round,Any,Free-150,https://www.google.com/maps/search/30+Godown+Barisal,City,Generally safe riverside area in city.,Riverside cafes, Barisal city restaurants
Kirtankhola River Cruise,River Activity,Barisal,Medium,Scenic boat rides through riverine "Venice of Bengal",Nov-Feb,Calm waters,400-800,https://www.google.com/maps/search/Kirtankhola+River+Barisal,From launch terminal,Generally safe on organized boat tours.,Launch terminal eateries, Nearby river view restaurants
Oxford Mission Church,Religious & Historical,Barisal,Low,Colonial-era historic church,Year-round,Any,Free,https://www.google.com/maps/search/Oxford+Mission+Church+Barisal,Local,Very safe historical religious site.,Local Barisal restaurants
Birshreshtho Captain Mohiuddin Jahangir Memorial,Museum,Barisal,Low,Memorial museum for liberation war hero,Year-round,Any,Free-150,https://www.google.com/maps/search/Birshreshtho+Jahangir+Memorial+Barisal,Local transport,Generally safe memorial site.,Nearby local eateries
Gangamati Reserved Forest,Forest,Barisal,Medium,Mangrove forest area near Kuakata,Nov-Feb,Pleasant,400-900,https://www.google.com/maps/search/Gangamati+Reserved+Forest+near+Kuakata,Local from Kuakata,Moderate caution in mangrove forest; better with guide/group and daytime visits.,Kuakata area restaurants
