place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Ratargul Swamp Forest,Natural Forest,Sylhet,Medium,Unique freshwater swamp forest in Bangladesh with magical boat rides through submerged trees,Jun-Oct or Nov-Feb,Lush and watery,400-700,https://www.google.com/maps/search/Ratargul+Swamp+Forest+Sylhet,Bus to Gowainghat + boat (2-3 hr),Generally safe with local boat operators; no major security issues reported—watch for slippery/muddy conditions and insects.,Gowainghat local restaurants, Boat tour food
Jaflong,Natural Scenic Area,Sylhet,Low,Border river with stones, tea gardens, hills and Khasi villages near India border,Nov-Feb,Clear cool skies,300-600,https://www.google.com/maps/search/Jaflong+Sylhet,Bus from Sylhet city (2 hr),Generally safe scenic spot; respect border rules and do not cross into restricted areas.,Jaflong river side restaurants, Tea garden cafes
Bisnakandi,Natural River Spot,Sylhet,Low,Stone-filled clear river with surrounding hills and calm waters for photography,Nov-Feb,Calm and pleasant,200-450,https://www.google.com/maps/search/Bisnakandi+Sylhet,Local bus + CNG,Generally safe river spot; slippery stones—caution when walking in water.,Bisnakandi local eateries
Lalakhal Turquoise River,Natural River,Sylhet,Medium,Crystal-clear blue river ideal for boating and scenic photography,Nov-Feb,Calm waters,400-700,https://www.google.com/maps/search/Lalakhal+Sylhet,Hired car or bus (1.5-2 hr),Generally safe for boating; moderate caution in remote river area.,Lalakhal boat side food
Shrine of Hazrat Shah Jalal,Religious Shrine,Sylhet,Low,Historic Sufi shrine and major pilgrimage site with peaceful gardens and mosque,Year-round,Any time,Free-100,https://www.google.com/maps/search/Hazrat+Shah+Jalal+Shrine+Sylhet,Walk or rickshaw from city center,Very safe major pilgrimage site with high security and visitors.,Shrine area mezban, Local restaurants in Zinda Bazar
Madhabkunda Waterfall,Waterfall,Sylhet,Low,One of the largest waterfalls with scenic hills and natural pools,Post-rain or Nov-Feb,Refreshing green,300-550,https://www.google.com/maps/search/Madhabkunda+Waterfall+Sylhet,Bus from Sylhet (2-3 hr),Generally safe waterfall; slippery rocks and paths—use caution and go with group.,Madhabkunda local restaurants
Lawachara National Park,National Park,Sylhet,Medium,Rainforest with trekking trails, gibbons and rich biodiversity,Nov-Feb,Cool dry,350-650,https://www.google.com/maps/search/Lawachara+National+Park+Sylhet,Bus to Kamalganj (2 hr),Moderate caution in rainforest; stick to trails, guided tours recommended, daytime visits.,Lawachara park gate eateries
Sreemangal Tea Gardens,Tea Estate,Sylhet,Low,Rolling tea hills known as Tea Capital with tasting and walking trails,Nov-Feb,Lush green,200-500,https://www.google.com/maps/search/Sreemangal+Tea+Gardens,Bus from Sylhet (2 hr),Generally safe tea estate area with many visitors.,Sreemangal tea resorts restaurants, Local cafes
Ali Amjad Clock Tower,Landmark,Sylhet,Low,Historic clock tower and observation point with city views,Year-round,Any,Free,https://www.google.com/maps/search/Ali+Amjad+Clock+Tower+Sylhet,City center,Very safe central landmark.,City center restaurants
Osmani Museum,Museum,Sylhet,Low,Museum dedicated to freedom fighter General MAG Osmani,Year-round,Indoor,100-200,https://www.google.com/maps/search/Osmani+Museum+Sylhet,Central Sylhet,Very safe indoor museum.,Central Sylhet eateries
