place,type,district,budget,description,best_time,weather,avg_cost,map_link,route,security,Nearby restaurants
Tajhat Palace,Historical & Museum,Rangpur,Low,Beautiful zamindar palace now serving as museum,Year-round,Any,100-300,https://www.google.com/maps/search/Tajhat+Palace+Rangpur,Bus or rickshaw from city,Generally safe historical museum.,Tajhat local restaurants
Rangpur Zoo,Wildlife Park,Rangpur,Low,Popular zoo with animals and gardens,Year-round,Any,150-400,https://www.google.com/maps/search/Rangpur+Zoo,Local transport,Generally safe family zoo.,Zoo area eateries
Vinnojogot Amusement Park,Amusement Park,Rangpur,Medium,Large theme park with various rides,Year-round,Any,300-700,https://www.google.com/maps/search/Vinnojogot+Amusement+Park+Rangpur,Bus (15-20 min),Generally safe large amusement park.,Park restaurants
Kantajew Temple,Religious,Rangpur,Medium,Iconic terracotta Hindu temple masterpiece,Nov-Feb,Clear,250-600,https://www.google.com/maps/search/Kantajew+Temple+Dinajpur,Bus to Dinajpur side,Very safe iconic temple.,Temple area food
Rangpur Town Hall,Landmark,Rangpur,Low,Historic town hall with liberation war significance,Year-round,Any,Free,https://www.google.com/maps/search/Rangpur+Town+Hall,In city,Generally safe central landmark.,Town hall nearby restaurants
Begum Rokeya Memorial,Cultural,Rangpur,Low,Memorial to social reformer with exhibits,Year-round,Any,Free-100,https://www.google.com/maps/search/Begum+Rokeya+Memorial+Pairaband,Bus,Generally safe memorial.,Pairaband local eateries
Teesta River View,Natural,Rangpur,Low,Scenic river embankment for views,Nov-Feb,Cool,Free-200,https://www.google.com/maps/search/Teesta+River+Rangpur,Bus,Generally safe river viewpoint.,Riverside stalls
Carmichael College,Campus & Historical,Rangpur,Low,Historic college campus with colonial architecture,Year-round,Any,Free-150,https://www.google.com/maps/search/Carmichael+College+Rangpur,Local bus,Generally safe college campus.,College canteens
Recreation Park and Rangpur Zoo Extension,Park,Rangpur,Low,Additional green space with zoo access,Year-round,Any,100-300,https://www.google.com/maps/search/Recreation+Park+Rangpur,Local,Generally safe recreation park.,Park eateries
Shopnopuri Artificial Amusement Park,Amusement Park,Rangpur,Medium,Popular artificial amusement and water park,Year-round,Any,300-650,https://www.google.com/maps/search/Shopnopuri+Amusement+Park+Rangpur,Bus,Generally safe amusement park.,Park food outlets
Tangon River,Natural,Rangpur,Low,Scenic river area,Nov-Feb,Cool,Free-150,https://www.google.com/maps/search/Tangon+River+near+Rangpur,Local,Generally safe river area.,Local river eateries
Dinajpur Rajbari,Historical,Rangpur,Low,Historic landlord palace,Year-round,Any,100-300,https://www.google.com/maps/search/Dinajpur+Rajbari,Bus,Generally safe historical palace.,Dinajpur restaurants
Ramsagar Dighi,Natural Lake,Rangpur,Low,Large historic man-made lake,Year-round,Any,150-350,https://www.google.com/maps/search/Ramsagar+Dighi+Dinajpur,Bus,Generally safe historic lake.,Lake side local food
